tree_id,longitude,latitude,canopy_area,CanDia1,CanDia2,dieback_pc,max_height,base_live_canopy,crown_depth,live_crown_ratio,diameter_at_base_wet,diameter_at_30_cm,disk_diameter_wet,disk_diameter_dry,base_ba_wet,disk_ba_wet,disk_ba_dry,inside_bark_area,inside_bark_diam,heartwood_area,sapwood_area,bark_thickness,wet_mass_small_partititon,wet_mass_large_partititon,wet_mass_total,moisture_content_of_small_partition,moisture_content_of_large_partition,moisture_content_of_total,dry_mass_small_partititon,dry_mass_large_partititon,dry_mass_total_g,dry_mass_total_kg,proportion_subsampled_and_dried_small_partition,proportion_subsampled_and_dried_large_partition,proportion_subsampled_and_dried_total,drone_canopy_height_min,drone_canopy_height_max,HAG_plotmean_of_cellmax_m,HAG_plotmedian_of_cellmax_m,HAG_plot90percentile_of_cellmax_m,Notes,,,,,,,
Comments,decimal degrees,decimal degrees,measured on orthomosaic. In m2,in m,in m,Percentage dieback average occular estimate by Cam and Nick,Maximum height in m measured with a mast,Base of live canopy in m,in m,Percentage,in cm,in cm,in cm,in cm,in cm2,in cm2,in cm2,in cm2,in cm,in cm2,in cm2,in cm,in g,in g,in g,As proportion of wet mass,As proportion of wet mass,As proportion of wet mass,in g,in g,in g,in kg,Subsamples as proportion of total mass,Subsamples as proportion of total mass,Subsamples as proportion of total mass,in m,in m,in m,in m,in m,,,,,,,,
P01,-106.236,34.44074,9,4.254,3.057,5,6.4,1.8,4.6,0.72,21.1,19.1,20.2,19.4,349.7,320.5,296,231.8,17.2,42.6,189.2,1.1,71960,114430,186390,0.422,0.414,0.417,41582.18,67035.8,108617.97,108.62,0.03,0.11,0.08,0,6.7,0.4874,0.07,0.21,NA,,,,,,,
P02,-106.236,34.44057,3,2.421,1.824,5,3.1,1.1,2,0.65,9.7,8.4,9.3,8.9,73.9,67.9,61.7,44.1,7.5,7.2,36.9,0.7,13280,8280,21560,0.626,0.4,0.513,4960.97,4966.98,9927.95,9.93,0.15,0.49,0.28,0.02,2.14,0.1589,0.13,0.16,Some Gambel oak was removed from this plot prior to survey and harvest.,,,,,,,
P03,-106.235,34.4405,1,1.385,1.256,0,1.1,0,1.1,1,5.4,3.4,5.2,4.7,22.9,21.2,17.4,12.6,4,1,11.6,0.4,4620,440,5060,0.477,0.485,0.478,2414.01,226.7,2640.71,2.64,0.43,1,0.48,0.01,1.12,0.3309,0.1,0.87,"At 30 cm height there were three stems measuring 3.4, 1.3 and 1.1 cm in diameter. May need to digitally remove any points from overhanging branches but that would be straightforward.",,,,,,,
P04,-106.235,34.4407,6,3.046,2.383,10,2.9,0,2.9,1,12.7,9.6,12.4,11.6,126.7,120.8,106.2,78.6,10,15.7,62.9,0.8,29960,12620,42580,0.591,0.429,0.531,12244.85,7204.5,19449.35,19.45,0.11,0.41,0.2,0,2.67,0.3802,0,1.73,Very good candidate,,,,,,,
P05,-106.235,34.4403,15,4.665,4.159,10,6.7,0.7,6,0.9,22.1,21.9,22.1,20.2,383.6,383.6,321.8,242.8,17.6,121.1,121.7,1.3,77230,179120,256350,0.452,0.385,0.403,42302.79,110227.44,152530.23,152.53,0.02,0.03,0.03,0,6.59,0.8783,0.07,3.97,Diameter measured above swell damage. Non-square plot,,,,,,,
P06,-106.234,34.4401,0.179621842,0.673,0.385,5,0.7,0,0.7,1,2.6,NA,2.4,1.9,5.3,4.5,2.8,2.1,1.6,0.2,1.9,0.1,627,NA,627,0.411,NA,0.411,369.3,NA,369.3,0.37,1,NA,1,0,0.57,0.1092,0,0.4,Lovely small one,,,,,,,
P07,-106.234,34.43914,0.068548524,0.359,0.265,5,0.6,0.1,0.5,0.83,2.7,NA,2.2,2,5.7,3.8,3.1,2,1.6,0.3,1.7,0.2,500,NA,500,0.494,NA,0.494,252.96,NA,252.96,0.25,0.98,NA,0.98,0,0.38,0.0623,0,0.28,Lovely small one,,,,,,,
P08,-106.234,34.43942,1,0.989,0.838,5,3.4,0.2,3.2,0.94,13.4,11.9,12.4,11.8,141,120.8,109.7,71.5,9.5,33,38.5,1.1,26200,14480,40680,0.407,0.377,0.396,15538.28,9019.93,24558.21,24.56,0.08,0.27,0.15,0,3.26,0.7825,0.04,2.82,NA,,,,,,,
P09,-106.234,34.4395,3,2.282,1.644,5,2.2,0.7,1.5,0.68,5.7,4.8,5.7,5.3,25.5,25.5,22.1,14.4,4.3,2.9,11.5,0.5,17500,2342,19842,0.421,0.347,0.411,10132.99,1528.43,11661.43,11.66,0.13,0.71,0.2,0,2.12,0.4203,0.01,1.58,NA,,,,,,,
